company_name_normalized;nb_occ
COMMUNE DE LEVALLOIS PERRET;7
HOFFER;7
MUSTAFA;7
BAILLY;7
CARREFOUR HYPERMARCHES;7
GHARBI;7
CORDIER;7
MERCIER;7
LOUIS;7
DEPARTEMENT DE L'ISERE;7
SARR;7
BAUDRY;7
COMMUNE DE LA SEYNE SUR MER;7
PREFECTURE DE LA MEUSE;7
RECTORAT DE L'ACADEMIE DE VERSAILLES;7
BOURGEOIS;7
PREFET DES ALPES MARITIMES;7
DEPARTEMENT DES PYRENEES ORIENTALES;7
QIAL;7
KOUYATE;7
DOUMBIA;7
KANOUTE;7
ETABLISSEMENT PUBLIC DE GESTION DU QUARTIER D'AFFAIRES DE LA DEFENSE;7
EUROMETROPOLE DE STRASBOURG;7
SYNDICAT DES COPROPRIETAIRES DE LA TOUR PUCCINI;7
GRIGORYAN;7
STEPHAN;7
BOUTHABA;7
SERIS;7
SOCIETE NC NUMERICABLE;7
MINISTERE DU BUDGET DES COMPTES PUBLICS ET DE LA REFORME DE L'ETAT;7
SOCIETE TAPIS SAINT MACLOU;7
CAISSE PRIMAIRE D'ASSURANCE MALADIE DE PARIS;7
COMMUNE DE BORDEAUX;7
MINISTERE DE L'ECONOMIE ET DES FINANCES DRESG DIRECTION DES RESIDENTS;7
SOCIETE CORA;7
COHEN;7
MARTIROSYAN;7
LEFEVRE;7
ASSEMBLEE DE LA PROVINCE SUD;7
OFFICE PUBLIC DE L'HABITAT D'ILLE ET VILAINE NEOTOA;7
FABRE;7
LEROUX;7
PREFECTURE DU CANTAL;7
ABDALLAH;7
MINISTERE DE LA JUSTICE SECRETARIAT GENERAL SDAJCG;7
SOCIETE SOMAF;7
PREFECTURE DES HAUTS DE SEINE DIREC. DES AFFAIRES JURIDIQUES ET DE L'ADMINISTRATION LOCALE;7
AHMADI;7
DURAND;7
LIGUE DES DROITS DE L'HOMME;7
COMMUNE DE NANTES;7
DIRCOFI SUD PYRENEES;7
REGION PAYS DE LA LOIRE;7
MINISTERE DE L'ECOLOGIE DU DEV DURABLE DES TRANSPORTS ET DU LOGEMENT;7
SOUARE;7
COLIN;7
PREFECTURE DES ALPES DE HAUTE PROVENCE;7
RUBIO;7
KHACHATRYAN;7
NDIAYE;7
MINISTERE DE L'ENVIRONNEMENT, DE L'ENERGIE ET DE LA MER, RELATIONS CLIMAT;7
GUEYE;7
MINISTERE DE L'EDUCATION NATIONALE, ENSEIGNEMENT SUP. ET RECHERCHE;7
FOURNIER;7
PREFECTURE DES COTES D'ARMOR;7
