known_companies;known_companies_len
TEREX;5
CROWN CASTLE INTERNATIONAL;26
CACI INTERNATIONAL;18
WATSCO;6
WELLTOWER;9
ADT;3
AMETEK;6
LPL;3
NOBLE ENERGY;12
MOODY;5
SYMANTEC;8
AMKOR TECHNOLOGY;16
KBR;3
TIFFANY;7
TORCHMARK;9
CARLISLE;8
SILGAN;6
BEMIS;5
WORLDPAY;8
INGLES MARKETS;14
SNAP ON;7
DENTSPLY SIRONA;15
CALUMET SPECIALTY PRODUCTS;26
ENCOMPASS HEALTH;16
MARTIN MARIETTA MATERIALS;25
NASDAQ;6
LEGGETT & PLATT;15
UNIVERSAL FOREST;16
SALLY BEAUTY;12
FLOWERS FOODS;13
BARNES & NOBLE;14
VULCAN MATERIALS;16
TAYLOR MORRISON HOME;20
WESTINGHOUSE AIR BRAKE;22
CRESTWOOD EQUITY PARTNERS;25
IRON MOUNTAIN;13
LENNOX;6
GENERAL CABLE;13
AMERICAN EAGLE OUTFITTERS;25
CHURCH & DWIGHT;15
PLATFORM SPECIALTY PRODUCTS;27
JELD WEN HOLDING;16
ONEMAIN HOLDINGS;16
COLFAX;6
ZEBRA TECHNOLOGIES;18
ANDERSONS;9
CARLYLE GROUP;13
HUBBELL;7
TRINITY INDUSTRIES;18
DARLING INGREDIENTS;19
FLOWSERVE;9
ANTERO RESOURCES;16
SKYWORKS SOLUTIONS;18
LANDSTAR SYSTEM;15
BUCKEYE PARTNERS;16
MRC GLOBAL;10
CME GROUP;9
GREIF;5
NEXEO SOLUTIONS;15
COOPER STANDARD;15
URBAN OUTFITTERS;16
LSC COMMUNICATIONS;18
SABRE;5
GREEN PLAINS;12
HEXION;6
STERICYCLE;10
WARNER MUSIC GROUP;18
VENTAS;6
SCANSOURCE;10
PINNACLE WEST CAPITAL;21
SCRIPPS NETWORKS INTERACTIVE;28
ALEXION PHARMACEUTICALS;23
PITNEY BOWES;12
CIT GROUP;9
COUNTRY FINANCIAL;17
CUNA MUTUAL GROUP;17
TRIUMPH GROUP;13
TRANSDIGM GROUP;15
ALLEGHENY TECHNOLOGIES;22
RESOLUTE FOREST PRODUCTS;24
ACUITY BRANDS;13
ABERCROMBIE & FITCH;19
KLA TENCOR;10
WEIS MARKETS;12
PUGET ENERGY;12
MEDNAX;6
KAR AUCTION SERVICES;20
POLYONE;7
FMC;3
EDWARDS LIFESCIENCES;20
MICROCHIP TECHNOLOGY;20
AMERCO;6
MERCURY GENERAL;15
AMERICAN NATIONAL INSURANCE;27
CARTER'S;8
INTERNATIONAL FLAVORS & FRAGRANCES;34
AARON'S;7
ALLIANT ENERGY;14
EQT;3
MONSTER BEVERAGE;16
BMC STOCK HOLDINGS;18
RYERSON HOLDING;15
EQUIFAX;7
REGAL BELOIT;12
OLD DOMINION FREIGHT LINE;25
AMERICAN WATER WORKS;20
BGC PARTNERS;12
BRINK'S;7
MERITOR;7
SENTRY INSURANCE GROUP;22
SANDERSON FARMS;15
KAPSTONE PAPER & PACKAGING;26
GARTNER;7
IAC/INTERACTIVECORP;19
TAILORED BRANDS;15
WABCO HOLDINGS;14
INSPERITY;9
COMERICA;8
TRINET GROUP;12
AVAYA;5
ASHLAND GLOBAL HOLDINGS;23
MERITAGE HOMES;14
SKYWEST;7
USG;3
SOUTHWESTERN ENERGY;19
